Initial setup information
Sensor Model, MA24126A
Sensor Serial No, 1833505
Frequency, 0.01, GHz
Fixed Offset, 0, dB
Sample Interval, Full Speed
Any setup information is not updated during data logging.
7:59:33, -14.384 ,dBm
7:59:33, -14.391 ,dBm
7:59:33, -14.39 ,dBm
7:59:33, -14.392 ,dBm
7:59:33, -14.4 ,dBm
7:59:34, -14.388 ,dBm
7:59:34, -14.376 ,dBm
7:59:34, -14.379 ,dBm
7:59:34, -14.389 ,dBm
7:59:34, -14.379 ,dBm
7:59:34, -14.368 ,dBm
7:59:34, -14.371 ,dBm
7:59:34, -14.375 ,dBm
7:59:34, -14.353 ,dBm
7:59:34, -14.351 ,dBm
7:59:35, -14.37 ,dBm
7:59:35, -14.38 ,dBm
7:59:35, -14.375 ,dBm
7:59:35, -14.368 ,dBm
7:59:35, -14.365 ,dBm
7:59:35, -14.358 ,dBm
7:59:35, -14.346 ,dBm
7:59:35, -14.355 ,dBm
7:59:35, -14.366 ,dBm
7:59:35, -14.368 ,dBm
7:59:36, -14.38 ,dBm
7:59:36, -14.392 ,dBm
7:59:36, -14.387 ,dBm
7:59:36, -14.383 ,dBm
7:59:36, -14.371 ,dBm
7:59:36, -14.371 ,dBm
7:59:36, -14.379 ,dBm
7:59:36, -14.384 ,dBm
7:59:36, -14.396 ,dBm
7:59:36, -14.405 ,dBm
7:59:36, -14.403 ,dBm
7:59:37, -14.383 ,dBm
7:59:37, -14.374 ,dBm
7:59:37, -14.375 ,dBm
7:59:37, -14.379 ,dBm
7:59:37, -14.379 ,dBm
7:59:37, -14.383 ,dBm
7:59:37, -14.386 ,dBm
7:59:37, -14.371 ,dBm
7:59:37, -14.361 ,dBm
7:59:37, -14.368 ,dBm
7:59:38, -14.382 ,dBm
7:59:38, -14.382 ,dBm
7:59:38, -14.378 ,dBm
7:59:38, -14.38 ,dBm
7:59:38, -14.366 ,dBm
7:59:38, -14.353 ,dBm
7:59:38, -14.36 ,dBm
7:59:38, -14.377 ,dBm
7:59:38, -14.38 ,dBm
7:59:38, -14.375 ,dBm
7:59:38, -14.371 ,dBm
7:59:39, -14.36 ,dBm
7:59:39, -14.349 ,dBm
7:59:39, -14.346 ,dBm
7:59:39, -14.365 ,dBm
7:59:39, -14.377 ,dBm
7:59:39, -14.365 ,dBm
7:59:39, -14.361 ,dBm
7:59:39, -14.353 ,dBm
7:59:39, -14.353 ,dBm
7:59:39, -14.349 ,dBm
7:59:40, -14.354 ,dBm
7:59:40, -14.361 ,dBm
7:59:40, -14.361 ,dBm
7:59:40, -14.355 ,dBm
7:59:40, -14.345 ,dBm
7:59:40, -14.345 ,dBm
7:59:40, -14.338 ,dBm
7:59:40, -14.34 ,dBm
7:59:40, -14.349 ,dBm
7:59:40, -14.34 ,dBm
7:59:41, -14.32 ,dBm
7:59:41, -14.316 ,dBm
7:59:41, -14.316 ,dBm
7:59:41, -14.311 ,dBm
7:59:41, -14.309 ,dBm
7:59:41, -14.315 ,dBm
7:59:41, -14.309 ,dBm
7:59:41, -14.306 ,dBm
7:59:41, -14.295 ,dBm
7:59:41, -14.288 ,dBm
7:59:41, -14.287 ,dBm
7:59:42, -14.283 ,dBm
7:59:42, -14.293 ,dBm
7:59:42, -14.282 ,dBm
7:59:42, -14.271 ,dBm
7:59:42, -14.273 ,dBm
7:59:42, -14.271 ,dBm
7:59:42, -14.267 ,dBm
7:59:42, -14.262 ,dBm
7:59:42, -14.267 ,dBm
7:59:43, -14.269 ,dBm
7:59:43, -14.259 ,dBm
7:59:43, -14.257 ,dBm
7:59:43, -14.255 ,dBm
7:59:43, -14.254 ,dBm
7:59:43, -14.247 ,dBm
7:59:43, -14.254 ,dBm
7:59:43, -14.254 ,dBm
7:59:43, -14.239 ,dBm
7:59:43, -14.241 ,dBm
7:59:43, -14.231 ,dBm
7:59:44, -14.227 ,dBm
7:59:44, -14.224 ,dBm
7:59:44, -14.226 ,dBm
7:59:44, -14.226 ,dBm
7:59:44, -14.229 ,dBm
7:59:44, -14.228 ,dBm
7:59:44, -14.227 ,dBm
7:59:44, -14.232 ,dBm
7:59:44, -14.227 ,dBm
7:59:44, -14.236 ,dBm
7:59:45, -14.234 ,dBm
7:59:45, -14.233 ,dBm
7:59:45, -14.237 ,dBm
7:59:45, -14.24 ,dBm
7:59:45, -14.245 ,dBm
7:59:45, -14.244 ,dBm
7:59:45, -14.242 ,dBm
7:59:45, -14.245 ,dBm
7:59:45, -14.239 ,dBm
7:59:45, -14.239 ,dBm
7:59:46, -14.237 ,dBm
7:59:46, -14.24 ,dBm
7:59:46, -14.245 ,dBm
7:59:46, -14.252 ,dBm
7:59:46, -14.264 ,dBm
7:59:46, -14.266 ,dBm
7:59:46, -14.257 ,dBm
7:59:46, -14.254 ,dBm
7:59:46, -14.265 ,dBm
7:59:46, -14.268 ,dBm
7:59:47, -14.269 ,dBm
7:59:47, -14.273 ,dBm
7:59:47, -14.281 ,dBm
7:59:47, -14.276 ,dBm
7:59:47, -14.271 ,dBm
7:59:47, -14.268 ,dBm
7:59:47, -14.269 ,dBm
7:59:47, -14.266 ,dBm
7:59:47, -14.252 ,dBm
7:59:47, -14.248 ,dBm
7:59:48, -14.246 ,dBm
7:59:48, -14.238 ,dBm
7:59:48, -14.241 ,dBm
7:59:48, -14.25 ,dBm
7:59:48, -14.252 ,dBm
7:59:48, -14.238 ,dBm
7:59:48, -14.247 ,dBm
7:59:48, -14.244 ,dBm
7:59:48, -14.239 ,dBm
7:59:48, -14.234 ,dBm
7:59:49, -14.239 ,dBm
7:59:49, -14.241 ,dBm
7:59:49, -14.242 ,dBm
7:59:49, -14.234 ,dBm
7:59:49, -14.236 ,dBm
7:59:49, -14.235 ,dBm
7:59:49, -14.237 ,dBm
7:59:49, -14.251 ,dBm
7:59:49, -14.254 ,dBm
7:59:49, -14.252 ,dBm
7:59:49, -14.255 ,dBm
7:59:50, -14.25 ,dBm
7:59:50, -14.251 ,dBm
7:59:50, -14.253 ,dBm
7:59:50, -14.249 ,dBm
7:59:50, -14.258 ,dBm
7:59:50, -14.27 ,dBm
7:59:50, -14.265 ,dBm
7:59:50, -14.26 ,dBm
7:59:50, -14.264 ,dBm
7:59:50, -14.267 ,dBm
7:59:51, -14.261 ,dBm
7:59:51, -14.271 ,dBm
7:59:51, -14.274 ,dBm
7:59:51, -14.265 ,dBm
7:59:51, -14.262 ,dBm
7:59:51, -14.266 ,dBm
7:59:51, -14.266 ,dBm
7:59:51, -14.261 ,dBm
7:59:51, -14.278 ,dBm
7:59:51, -14.297 ,dBm
7:59:51, -14.306 ,dBm
7:59:52, -14.293 ,dBm
7:59:52, -14.295 ,dBm
7:59:52, -14.296 ,dBm
7:59:52, -14.292 ,dBm
7:59:52, -14.303 ,dBm
7:59:52, -14.321 ,dBm
7:59:52, -14.339 ,dBm
7:59:52, -14.331 ,dBm
7:59:52, -14.325 ,dBm
7:59:52, -14.322 ,dBm
7:59:53, -14.315 ,dBm
7:59:53, -14.31 ,dBm
7:59:53, -14.321 ,dBm
7:59:53, -14.329 ,dBm
7:59:53, -14.319 ,dBm
7:59:53, -14.308 ,dBm
7:59:53, -14.299 ,dBm
7:59:53, -14.299 ,dBm
7:59:53, -14.302 ,dBm
7:59:53, -14.3 ,dBm
7:59:54, -14.322 ,dBm
7:59:54, -14.327 ,dBm
7:59:54, -14.301 ,dBm
7:59:54, -14.3 ,dBm
7:59:54, -14.308 ,dBm
7:59:54, -14.31 ,dBm
7:59:54, -14.316 ,dBm
7:59:54, -14.329 ,dBm
7:59:54, -14.33 ,dBm
7:59:54, -14.309 ,dBm
7:59:55, -14.304 ,dBm
7:59:55, -14.311 ,dBm
7:59:55, -14.326 ,dBm
7:59:55, -14.335 ,dBm
7:59:55, -14.352 ,dBm
7:59:55, -14.352 ,dBm
7:59:55, -14.341 ,dBm
7:59:55, -14.333 ,dBm
7:59:55, -14.339 ,dBm
7:59:55, -14.354 ,dBm
7:59:56, -14.353 ,dBm
7:59:56, -14.365 ,dBm
7:59:56, -14.371 ,dBm
7:59:56, -14.363 ,dBm
7:59:56, -14.349 ,dBm
7:59:56, -14.354 ,dBm
7:59:56, -14.352 ,dBm
7:59:56, -14.352 ,dBm
7:59:56, -14.357 ,dBm
7:59:56, -14.371 ,dBm
7:59:56, -14.366 ,dBm
7:59:57, -14.356 ,dBm
7:59:57, -14.357 ,dBm
7:59:57, -14.362 ,dBm
7:59:57, -14.366 ,dBm
7:59:57, -14.371 ,dBm
7:59:57, -14.379 ,dBm
7:59:57, -14.382 ,dBm
